nbOpes,type,time
106000,remote,421194
106000,local,155858
106000,remote,365536
106000,local,159650
106000,remote,370009
106000,local,168265
106000,remote,494786
106000,local,165382
106000,remote,467206
106000,local,188520
106000,remote,495438
106000,local,169474
106000,remote,333821
106000,local,193604
106000,remote,557541
106000,local,156082
106000,remote,332594
106000,local,169554
106000,remote,394416
106000,local,168428
106000,remote,445151
106000,local,181773
106000,remote,437305
106000,local,154684
106000,remote,367333
106000,local,178807
106000,remote,430537
106000,local,175478
106000,remote,324441
106000,local,147575
106000,remote,365425
106000,local,166137
106000,remote,408414
106000,local,179923
106000,remote,585283
106000,local,161880
106000,remote,378814
106000,local,183133
106000,remote,492391
106000,local,166877
106000,remote,379017
106000,local,169484
106000,remote,401859
106000,local,179785
106000,remote,396562
106000,local,170207
106000,remote,373204
106000,local,159638
106000,remote,330612
106000,local,155751
106000,remote,334784
106000,local,5255198
106000,remote,398252
106000,local,172763
106000,remote,476897
106000,local,145545
106000,remote,370723
106000,local,166017
106000,remote,453138
106000,local,179224
106000,remote,406998
106000,local,242324
106000,remote,447759
106000,local,167339
106000,remote,472617
106000,local,146232
106000,remote,291497
106000,local,151969
106000,remote,369976
106000,local,165443
106000,remote,379345
106000,local,175361
106000,remote,500964
106000,local,162910
106000,remote,360877
106000,local,129691
106000,remote,306393
106000,local,176163
106000,remote,320436
106000,local,152777
106000,remote,328610
106000,local,169280
106000,remote,398541
106000,local,173632
106000,remote,463464
106000,local,170107
106000,remote,363865
106000,local,151478
106000,remote,372526
106000,local,132595
106000,remote,342538
106000,local,147762
106000,remote,394669
106000,local,180050
106000,remote,373397
106000,local,174999
106000,remote,391305
106000,local,141519
106000,remote,380193
106000,local,158136
106000,remote,394606
106000,local,194556
106000,remote,449405
106000,local,184693
106000,remote,455538
106000,local,164633
106000,remote,465030
106000,local,157166
106000,remote,303755
106000,local,150327
106000,remote,420276
106000,local,163799
106000,remote,444548
106000,local,163746
106000,remote,444330
106000,local,157288
106000,remote,364191
106000,local,189060
106000,remote,408613
106000,local,171114
106000,remote,385181
106000,local,180551
106000,remote,413981
106000,local,175074
106000,remote,478409
106000,local,132126
106000,remote,307980
106000,local,150372
106000,remote,424746
106000,local,183833
106000,remote,560484
106000,local,181735
106000,remote,380851
106000,local,146667
106000,remote,383089
106000,local,170237
106000,remote,374040
106000,local,174520
106000,remote,521718
106000,local,472002
106000,remote,450345
106000,local,175905
106000,remote,483261
106000,local,159046
106000,remote,397288
106000,local,173074
106000,remote,380048
106000,local,171899
106000,remote,461750
106000,local,225227
106000,remote,365199
106000,local,155600
106000,remote,457054
106000,local,145769
106000,remote,373227
106000,local,168540
106000,remote,460402
106000,local,158291
106000,remote,389277
106000,local,181345
106000,remote,488345
106000,local,164661
106000,remote,410097
106000,local,153433
106000,remote,410886
106000,local,178001
106000,remote,397992
106000,local,193483
106000,remote,601178
106000,local,167697
106000,remote,394590
106000,local,175423
106000,remote,436420
106000,local,159878
106000,remote,380223
106000,local,163470
106000,remote,399862
106000,local,196998
106000,remote,524868
108000,local,220985
108000,remote,393354
108000,local,138521
108000,remote,297655
108000,local,232300
108000,remote,420266
108000,local,170913
108000,remote,404069
108000,local,155172
108000,remote,344482
108000,local,157141
108000,remote,215104
108000,local,157507
108000,remote,307185
108000,local,175793
108000,remote,488624
108000,local,157171
108000,remote,426517
108000,local,164571
108000,remote,519052
108000,local,200255
108000,remote,394872
108000,local,6057272
108000,remote,398214
108000,local,165488
108000,remote,369463
108000,local,153688
108000,remote,346983
108000,local,155173
108000,remote,328180
108000,local,171069
108000,remote,345035
108000,local,171347
108000,remote,463570
108000,local,162205
108000,remote,391465
108000,local,157569
108000,remote,321885
108000,local,178933
108000,remote,403597
108000,local,160093
108000,remote,388717
108000,local,160781
108000,remote,372395
108000,local,169957
108000,remote,417704
108000,local,165065
108000,remote,394627
108000,local,153052
108000,remote,375189
108000,local,162325
108000,remote,359140
108000,local,172487
108000,remote,484524
108000,local,162030
108000,remote,441174
108000,local,147736
108000,remote,384281
108000,local,179567
108000,remote,420212
108000,local,181730
108000,remote,500323
108000,local,149658
108000,remote,325171
108000,local,161650
108000,remote,372185
108000,local,157634
108000,remote,382405
108000,local,156720
108000,remote,233792
108000,local,150836
108000,remote,412529
108000,local,196533
108000,remote,420159
108000,local,150682
108000,remote,422492
108000,local,171741
108000,remote,472002
108000,local,167164
108000,remote,334343
108000,local,173693
108000,remote,440164
108000,local,174756
108000,remote,474363
108000,local,142188
108000,remote,362610
108000,local,159261
108000,remote,302173
108000,local,148456
108000,remote,373507
108000,local,159350
108000,remote,336595
108000,local,155052
108000,remote,376736
108000,local,169312
108000,remote,399641
108000,local,158333
108000,remote,396787
108000,local,190727
108000,remote,481127
108000,local,182909
108000,remote,453398
108000,local,165906
108000,remote,496009
108000,local,185317
108000,remote,442060
108000,local,176830
108000,remote,400163
108000,local,147491
108000,remote,351363
108000,local,155208
108000,remote,441601
108000,local,145448
108000,remote,344421
108000,local,174579
108000,remote,380983
108000,local,158326
108000,remote,364811
108000,local,169412
108000,remote,424633
108000,local,6232148
108000,remote,450547
108000,local,178931
108000,remote,352763
108000,local,175585
108000,remote,316313
108000,local,146721
108000,remote,358012
108000,local,189355
108000,remote,457345
108000,local,168416
108000,remote,416929
108000,local,151924
108000,remote,407913
108000,local,163111
108000,remote,419654
108000,local,167388
108000,remote,308144
108000,local,167326
108000,remote,385117
108000,local,161001
108000,remote,346761
108000,local,152981
108000,remote,316777
108000,local,145934
108000,remote,385849
108000,local,7980592
108000,remote,427996
108000,local,152654
108000,remote,311237
108000,local,496771
108000,remote,438676
108000,local,134851
108000,remote,318923
108000,local,156370
108000,remote,378107
108000,local,158661
108000,remote,313667
108000,local,161808
108000,remote,528993
108000,local,261805
108000,remote,440342
108000,local,157569
108000,remote,310065
108000,local,193893
108000,remote,407152
108000,local,142485
108000,remote,397687
108000,local,155851
108000,remote,368602
108000,local,179727
108000,remote,458627
108000,local,165173
108000,remote,345451
108000,local,182577
108000,remote,456987
108000,local,174783
108000,remote,504121
108000,local,166888
108000,remote,372669
108000,local,142692
108000,remote,291180
108000,local,156475
108000,remote,338643
108000,local,169947
108000,remote,398146
108000,local,151140
108000,remote,466635
108000,local,174118
108000,remote,439540
108000,local,166354
108000,remote,463527
108000,local,167253
108000,remote,309798
108000,local,149487
108000,remote,337422
108000,local,143384
108000,remote,381313
108000,local,177976
108000,remote,488560
108000,local,225136
108000,remote,544743
108000,local,200549
108000,remote,441305
108000,local,160392
108000,remote,362754
108000,local,163962
108000,remote,468221
108000,local,189207
108000,remote,269819
108000,local,184223
108000,remote,439455
108000,local,204657
108000,remote,577292
108000,local,167946
108000,remote,553170
108000,local,161668
108000,remote,408845
108000,local,148640
108000,remote,334449
108000,local,515562
108000,remote,366717
108000,local,5964846
108000,remote,374704
108000,local,179471
108000,remote,509978
108000,local,173483
108000,remote,348484
108000,local,261450
108000,remote,401240
108000,local,155760
108000,remote,507762
108000,local,163477
108000,remote,417737
108000,local,154375
108000,remote,416098
108000,local,169405
108000,remote,244415
108000,local,178622
108000,remote,498128
110000,local,149113
110000,remote,294939
110000,local,173247
110000,remote,317751
110000,local,164530
110000,remote,254828
110000,local,582884
110000,remote,496717
110000,local,150762
110000,remote,299045
110000,local,166437
110000,remote,381479
110000,local,162994
110000,remote,361277
110000,local,168605
110000,remote,432502
110000,local,134788
110000,remote,300970
110000,local,135696
110000,remote,338817
110000,local,168687
110000,remote,326755
110000,local,176290
110000,remote,352155
110000,local,145451
110000,remote,266999
110000,local,181807
110000,remote,302255
110000,local,150728
110000,remote,362695
110000,local,152132
110000,remote,358111
110000,local,162154
110000,remote,436211
110000,local,173020
110000,remote,402645
110000,local,167815
110000,remote,354798
110000,local,248007
110000,remote,432491
110000,local,147355
110000,remote,364070
110000,local,165553
110000,remote,436131
110000,local,638290
110000,remote,408456
110000,local,186374
110000,remote,474608
110000,local,184044
110000,remote,419232
110000,local,171796
110000,remote,388340
110000,local,162625
110000,remote,522271
110000,local,176741
110000,remote,501434
110000,local,170095
110000,remote,332215
110000,local,165419
110000,remote,411574
110000,local,173129
110000,remote,359828
110000,local,168375
110000,remote,436285
110000,local,160415
110000,remote,406049
110000,local,176109
110000,remote,431731
110000,local,176348
110000,remote,391423
110000,local,163007
110000,remote,410089
110000,local,146761
110000,remote,437184
110000,local,165797
110000,remote,468679
110000,local,147943
110000,remote,301815
110000,local,149134
110000,remote,348338
110000,local,155074
110000,remote,423864
110000,local,171371
110000,remote,404883
110000,local,221880
110000,remote,584616
110000,local,162923
110000,remote,415721
110000,local,173376
110000,remote,454244
110000,local,153270
110000,remote,370297
110000,local,172397
110000,remote,413783
110000,local,165680
110000,remote,474340
110000,local,168534
110000,remote,460226
110000,local,156647
110000,remote,420126
110000,local,186139
110000,remote,318012
110000,local,158416
110000,remote,393114
110000,local,172377
110000,remote,403488
110000,local,153786
110000,remote,423546
110000,local,164342
110000,remote,361206
110000,local,160680
110000,remote,398756
110000,local,175997
110000,remote,345555
110000,local,151154
110000,remote,252437
110000,local,185270
110000,remote,452498
110000,local,188593
110000,remote,470783
110000,local,164717
110000,remote,362431
110000,local,170628
110000,remote,350972
110000,local,474358
110000,remote,532455
110000,local,164139
110000,remote,390492
110000,local,158589
110000,remote,522004
110000,local,175910
110000,remote,375111
110000,local,167056
110000,remote,297339
110000,local,159494
110000,remote,371705
110000,local,170520
110000,remote,505680
110000,local,161426
110000,remote,386619
110000,local,179241
110000,remote,480396
110000,local,148647
110000,remote,401000
110000,local,165078
110000,remote,337147
110000,local,154765
110000,remote,384534
110000,local,187191
110000,remote,566754
110000,local,147941
110000,remote,412781
110000,local,160969
110000,remote,315692
110000,local,172239
110000,remote,473254
110000,local,195769
110000,remote,371266
110000,local,160554
110000,remote,348506
110000,local,145724
110000,remote,317634
110000,local,178704
110000,remote,429406
110000,local,190576
110000,remote,295443
110000,local,149184
110000,remote,368077
110000,local,155757
110000,remote,358551
110000,local,172570
110000,remote,385553
110000,local,183086
110000,remote,427105
110000,local,147373
110000,remote,399026
110000,local,152137
110000,remote,350584
110000,local,169595
110000,remote,405492
110000,local,184903
110000,remote,437162
110000,local,157024
110000,remote,394342
110000,local,176382
110000,remote,220882
110000,local,256565
110000,remote,440560
110000,local,172667
110000,remote,405519
110000,local,163689
110000,remote,398850
110000,local,480515
110000,remote,498902
