nbOpes,type,size,nbRenamingBots
30000,content,35588,3
30000,ls,5165286,4
30000,content,35588,4
30000,ls,4968996,1
30000,content,35964,1
30000,ls,4968996,2
30000,content,35964,2
30000,ls,4968996,3
30000,content,35964,3
30000,ls,4968996,4
30000,content,35964,4
30000,ls,4683418,1
30000,content,35876,1
30000,ls,4683418,2
30000,content,35876,2
30000,ls,4683418,3
30000,content,35876,3
30000,ls,4683418,4
30000,content,35876,4
30000,ls,5582600,1
30000,content,35104,1
30000,ls,5582600,2
30000,content,35104,2
30000,ls,5582600,3
30000,content,35104,3
30000,ls,5582600,4
30000,content,35104,4
30000,ls,5122170,1
30000,content,36324,1
30000,ls,5122170,2
30000,content,36324,2
30000,ls,5122170,3
30000,content,36324,3
30000,ls,5122170,4
30000,content,36324,4
30000,ls,4793178,1
30000,content,36504,1
30000,ls,4793178,2
30000,content,36504,2
30000,ls,4793178,3
30000,content,36504,3
30000,ls,4793178,4
30000,content,36504,4
30000,ls,4996026,1
30000,content,35672,1
30000,ls,4996026,2
30000,content,35672,2
30000,ls,4996026,3
30000,content,35672,3
30000,ls,4996026,4
30000,content,35672,4
30000,ls,5601700,1
30000,content,35768,1
30000,ls,5601700,2
30000,content,35768,2
30000,ls,5601700,3
30000,content,35768,3
30000,ls,5601700,4
30000,content,35768,4
30000,ls,4874832,1
30000,content,36408,1
30000,ls,4874832,2
30000,content,36408,2
30000,ls,4874832,3
30000,content,36408,3
30000,ls,4874832,4
30000,content,36408,4
30000,rlsWithoutGC,4911690,1
30000,rlsWithGC,4911690,1
30000,content,35740,1
31000,rlsWithoutGC,2746660,1
31000,rlsWithGC,36748,1
30000,rlsWithoutGC,5297476,1
30000,rlsWithGC,5297476,1
30000,content,36108,1
31000,rlsWithoutGC,3001836,1
31000,rlsWithGC,37118,1
30000,rlsWithoutGC,4546206,1
30000,rlsWithGC,4546206,1
30000,content,36232,1
31000,rlsWithoutGC,2471952,1
31000,rlsWithGC,37242,1
30000,rlsWithoutGC,5888114,1
30000,rlsWithGC,5888114,1
30000,content,35912,1
31000,rlsWithoutGC,3388362,1
31000,rlsWithGC,36916,1
30000,rlsWithoutGC,4931708,1
30000,rlsWithGC,4931708,1
30000,content,36276,1
31000,rlsWithoutGC,2747760,1
31000,rlsWithGC,37284,1
